"Año";"Periodo";"Parámetro";"Salario Mínimo"
"2021";"Semestre 1";"Alemania";"1.503,59"
"2021";"Semestre 1";"Bélgica";"1.411,83"
"2021";"Semestre 1";"Bulgaria";"623,1"
"2021";"Semestre 1";"Chequia";"788,46"
"2021";"Semestre 1";"Croacia";"805,09"
"2021";"Semestre 1";"Eslovaquia";"721,28"
"2021";"Semestre 1";"Eslovenia";"1.177,73"
"2021";"Semestre 1";"España";"1.151,02"
"2021";"Semestre 1";"Estonia";"684,45"
"2021";"Semestre 1";"Francia";"1.370,33"
"2021";"Semestre 1";"Grecia";"878,68"
"2021";"Semestre 1";"Hungría";"740,96"
"2021";"Semestre 1";"Irlanda";"1.272,81"
"2021";"Semestre 1";"Letonia";"642,3"
"2021";"Semestre 1";"Lituania";"935,88"
"2021";"Semestre 1";"Luxemburgo";"1.668,43"
"2021";"Semestre 1";"Malta";"906,22"
"2021";"Semestre 1";"Países Bajos";"1.444,28"
"2021";"Semestre 1";"Polonia";"1.084,27"
"2021";"Semestre 1";"Portugal";"885,94"
"2021";"Semestre 1";"Rumanía";"850,6"
;;
;;
"Métrica":"Salario Mínimo"
"Fuente":"Eurostat"
"Clasificación":""
"Unidad":"Euros"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/salarios-minimos-europa-paridad-poder-compra-2021/f0e605a7-e076-4f6f-bd41-dc526de3a8ee"
"Titulo":"Salarios mínimos en la UE en paridad de poder de compra en 2021"
"Subtitulo":"Salario mínimo mensual en 12 pagas"
